ingredient_id,name,category,is_caffeinated,sugar_per_unit_g,sweet,bitter,fruity,warm_spice,nutty,creamy,acidic,fresh
1,espresso shot,base,1,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.2,0.1
2,cold brew coffee,base,1,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.3,0.2
3,brewed coffee,base,1,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.2,0.1
4,creme base,base,0,3.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.1
5,green tea,base,1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.3,0.7
6,black tea,base,1,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.3,0.4
7,yogurt base,base,0,3.0,0.5,0.0,0.0,0.0,0.0,0.9,0.1,0.1
8,water,other,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,coconut water,base,0,2.0,0.5,0.0,0.4,0.0,0.0,0.1,0.2,0.9
10,whole milk,milk,0,0.0,0.2,0.0,0.0,0.0,0.0,0.9,0.0,0.0
11,skim milk,milk,0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0
12,oat milk,milk,0,0.0,0.2,0.0,0.0,0.2,0.0,0.8,0.0,0.0
13,almond milk,milk,0,0.0,0.1,0.0,0.0,0.5,0.0,0.6,0.0,0.0
14,soy milk,milk,0,0.0,0.1,0.0,0.0,0.1,0.0,0.7,0.0,0.0
15,vanilla syrup,syrup,0,5.0,0.9,0.0,0.0,0.0,0.1,0.2,0.0,0.1
16,caramel syrup,syrup,0,5.0,0.9,0.0,0.0,0.0,0.2,0.3,0.0,0.0
17,hazelnut syrup,syrup,0,5.0,0.8,0.0,0.0,0.0,0.6,0.3,0.0,0.0
18,classic simple syrup,syrup,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,chocolate syrup,syrup,0,5.0,0.9,0.1,0.0,0.0,0.1,0.4,0.0,0.0
20,white chocolate syrup,syrup,0,5.0,0.9,0.0,0.0,0.0,0.0,0.5,0.0,0.0
21,pumpkin spice syrup,syrup,0,5.0,0.8,0.0,0.0,0.8,0.1,0.3,0.0,0.0
22,brown sugar syrup,syrup,0,5.0,0.9,0.0,0.0,0.2,0.1,0.1,0.0,0.0
23,nutmeg powder,flavor,0,0.0,0.1,0.0,0.0,1.0,0.3,0.0,0.0,0.0
24,cinnamon powder,flavor,0,0.0,0.2,0.0,0.0,0.9,0.1,0.0,0.0,0.0
25,chai spice mix,flavor,0,0.0,0.2,0.0,0.0,0.8,0.1,0.0,0.0,0.0
26,matcha powder,flavor,1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.6
27,mango puree,fruit,0,3.0,0.8,0.0,0.9,0.0,0.0,0.2,0.2,0.7
28,strawberry pieces,fruit,0,2.0,0.7,0.0,0.8,0.0,0.0,0.1,0.3,0.8
29,blueberry puree,fruit,0,2.5,0.6,0.0,0.8,0.0,0.0,0.1,0.4,0.7
30,banana,fruit,0,2.5,0.7,0.0,0.6,0.0,0.0,0.7,0.1,0.3
31,pineapple,fruit,0,3.0,0.8,0.0,0.9,0.0,0.0,0.1,0.6,0.9
32,peach puree,fruit,0,2.5,0.8,0.0,0.9,0.0,0.0,0.2,0.2,0.7
33,whipped cream,topping,0,0.5,0.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0
34,cold foam,topping,0,0.5,0.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0
35,java chips,topping,0,1.0,0.7,0.1,0.0,0.0,0.1,0.4,0.0,0.0
36,ice,other,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,passion tea,base,0,0.0,0.2,0.2,0.7,0.0,0.0,0.0,0.4,0.9
38,coconut milk,milk,0,1.5,0.3,0.0,0.2,0.0,0.4,0.8,0.0,0.2
39,pecan syrup,syrup,0,5.0,0.8,0.0,0.0,0.1,0.9,0.3,0.0,0.0
40,peppermint syrup,syrup,0,5.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.9
41,gingerbread syrup,syrup,0,5.0,0.85,0.0,0.0,0.9,0.2,0.3,0.1,0.1
42,sugar free syrup,syrup,0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
43,sugar cookie syrup,syrup,0,5.0,0.9,0.0,0.0,0.2,0.3,0.4,0.0,0.0
44,strawberry puree,fruit,0,3.0,0.8,0.0,0.9,0.0,0.0,0.2,0.3,0.7
45,mango base,base,0,4.0,0.9,0.0,0.95,0.0,0.0,0.2,0.3,0.8
46,strawberry base,base,0,4.0,0.9,0.0,0.95,0.0,0.0,0.1,0.35,0.8
47,lemonade,base,0,3.0,0.7,0.0,0.2,0.0,0.0,0.0,0.8,0.9
